seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Terry,Rogers,19,Utoviz Path,Mudguhofo,NC,76408,$3898.88,RED,01/24/2024
2,Charles,Lloyd,57,Talu Turnpike,Awocawra,KY,68214,$7434.97,BLUE,07/08/2037
3,Gertrude,Stephens,36,Wasad Boulevard,Lugelben,IN,00319,$2465.35,RED,11/13/2065
4,Sophie,Snyder,20,Fubeb Way,Jesoblom,MI,84063,$4839.77,GREEN,09/20/2026
5,Alberta,Colon,21,Tukzid Court,Fijace,OK,03640,$5377.34,YELLOW,11/08/1951
6,Stephen,Burton,21,Linpe Center,Vedekgi,OK,20662,$6705.55,RED,06/07/2059
7,Evan,Davis,28,Ogana Street,Suwdafi,VT,40689,$9853.67,BLUE,01/02/1999
8,Rosa,Stephens,18,Ohiuc Plaza,Kisgeriwu,UT,39001,$2367.26,RED,11/22/1969
9,Nathaniel,McCarthy,48,Ovemas Terrace,Tostutse,IN,02710,$8932.35,BLUE,04/27/1905
10,Christian,Collier,65,Wakpo Key,Unocufi,FL,71330,$425.28,GREEN,02/11/1934
11,Leon,Hayes,44,Nezal Key,Lorecolo,OK,48450,$7604.40,YELLOW,02/17/1904
12,Ernest,Watts,38,Wabi Boulevard,Repage,AL,91376,$4052.93,YELLOW,10/08/2060
13,Caroline,Wade,26,Pifja Junction,Ciwzovog,AR,35538,$9284.42,WHITE,08/15/2037
14,Harold,Welch,59,Zegi Square,Ivonada,DC,49284,$8079.23,YELLOW,12/26/1923
15,Nelle,Benson,24,Optuz Plaza,Pafijin,WA,03606,$8009.08,GREEN,08/13/1907
16,Jane,Benson,65,Okhis Center,Wumesnaj,ID,80480,$159.48,BLUE,10/29/1950
17,Phillip,Nelson,57,Lizej Loop,Nonjunco,NH,30172,$4943.00,WHITE,04/28/2039
18,Donald,Gray,25,Tagi Drive,Bojgefjow,PA,11053,$4548.68,BLUE,08/11/2036
19,Theodore,Welch,46,Nukohi Parkway,Joefuno,AR,91249,$3038.53,YELLOW,09/25/2058
20,Chris,Moody,64,Fisub Manor,Fezvovke,RI,78474,$2809.19,GREEN,06/25/2010
21,Lee,Edwards,34,Digi Parkway,Duseswu,WY,75599,$1107.30,BLUE,10/15/2045
22,Alexander,Steele,31,Cifzo Boulevard,Agkesfaz,NH,24003,$616.93,BLUE,12/03/1925
23,Anthony,Jordan,28,Woheg Path,Rolocip,MS,15926,$2500.04,RED,06/12/2035
24,Jerry,Gross,53,Atte Drive,Kevokud,WY,01738,$1195.77,BLUE,11/10/2033
25,Emma,Bridges,33,Toruf Terrace,Zifedci,MO,50672,$6746.69,RED,02/28/2000
26,Eliza,Patton,29,Roztam Avenue,Gopivehu,MO,07008,$3926.39,RED,09/28/1901
27,Anthony,Miles,18,Wegac Way,Ivlahvi,OR,33010,$172.20,RED,06/20/1968
28,Leroy,Huff,43,Vialu Parkway,Dicnataw,NY,29635,$911.80,WHITE,11/07/1939
29,Joel,Rowe,54,Iducuc Ridge,Wurwutli,GA,50062,$8064.74,BLUE,12/30/1908
30,Sara,Diaz,45,Wudir Drive,Wonduzmud,NV,78641,$5065.75,YELLOW,06/14/2054
31,Lucy,Ramos,43,Mifde Center,Gajirob,VT,71277,$299.73,GREEN,05/28/1934
32,Noah,Bell,51,Didma Ridge,Apozinij,DC,21005,$7915.60,BLUE,02/24/1969
33,Duane,Perkins,22,Nomi Heights,Jukbofu,MS,09498,$6032.00,BLUE,10/27/1995
34,Erik,Sullivan,19,Puzfi Lane,Kehsato,VT,82889,$4553.47,YELLOW,12/15/2053
35,Celia,Patrick,43,Zuli Street,Vilavel,SC,45485,$7314.78,RED,11/19/1978
36,Virginia,Berry,57,Osuco Pass,Cuvumu,MN,47024,$4745.27,GREEN,10/14/1960
37,Arthur,Wood,35,Tutama Place,Viglonek,LA,76556,$9080.61,YELLOW,06/19/2034
38,Sue,Hayes,33,Fora Glen,Vadzoveho,WV,14856,$3210.04,RED,12/28/2022
39,Marvin,Maldonado,36,Ocunak Parkway,Patnulhep,MD,27674,$5841.52,YELLOW,10/10/2035
40,Rosa,Howell,24,Beeb Road,Gowota,SC,12075,$6264.23,RED,01/15/1985
41,Gussie,Richardson,37,Ahuoh Boulevard,Cejujat,IA,54249,$6108.09,RED,08/27/2043
42,Dean,Berry,40,Hatal Court,Ernutup,CO,03494,$2441.25,YELLOW,04/25/2017
43,Rosa,Soto,37,Bajbo Turnpike,Ekatuta,FL,84307,$3240.38,YELLOW,01/24/2000
44,Trevor,Schneider,23,Utohe Loop,Gufimoeg,MO,86721,$9833.00,WHITE,10/24/1940
45,Austin,Patrick,43,Evaela Court,Fimare,KY,18515,$2795.91,GREEN,01/21/2056
46,Josephine,Phillips,45,Gihe Highway,Homegwah,ND,47325,$6588.50,YELLOW,03/07/1972
47,Nina,Cobb,29,Etocu Pass,Rofgaupu,ID,66596,$7358.78,WHITE,06/16/1945
48,Evelyn,Little,52,Guco Highway,Ajcucco,WI,82909,$9038.20,WHITE,05/27/2010
49,Evan,Anderson,55,Leve Junction,Rewlazik,MS,59101,$5354.07,RED,04/02/2062
50,Cecelia,Alexander,58,Tesi Lane,Demecsuw,GA,72380,$331.71,GREEN,02/13/1967
51,Myra,Kennedy,51,Letil Trail,Wujgilaf,WA,03886,$4480.33,BLUE,11/11/2042
52,David,Dunn,65,Esevu Drive,Kiskiho,NJ,52648,$3826.72,GREEN,11/21/1923
53,Patrick,Baldwin,36,Sutu Square,Disgaknu,NE,05709,$6300.51,RED,07/30/1996
54,Vernon,Clark,44,Kuuta Center,Jiotuzon,OK,49984,$2909.00,RED,11/23/2056
55,Jeffery,Gonzalez,33,Ihfe Court,Sicpavjid,ID,34874,$32.55,WHITE,06/25/1931
56,Elsie,Carpenter,64,Opgud Pass,Zaigeju,WY,51661,$5196.12,GREEN,03/27/1981
57,Lora,Horton,53,Egvi Boulevard,Abotiehu,ID,10232,$8310.26,RED,08/31/1964
58,Hattie,Adkins,40,Upreh Drive,Tundoewe,PA,93667,$9751.30,WHITE,11/19/2056
59,Calvin,Allison,53,Faviw Key,Okrihvu,HI,42928,$1336.98,WHITE,12/04/1963
60,Chase,Little,50,Fupep River,Dorreni,TN,63953,$8891.19,YELLOW,10/27/1935
61,Sara,Beck,29,Bace Street,Adinica,GA,62722,$7543.88,BLUE,07/12/1961
62,Annie,Marshall,45,Ivunol Court,Lelicibu,TX,60163,$4399.17,RED,08/12/1907
63,Tommy,Lane,37,Tudmo Terrace,Cofsoev,AK,31294,$3431.74,WHITE,03/31/1947
64,Lawrence,Stevens,43,Otcu Road,Kiszupe,KY,22517,$138.13,RED,08/23/1904
65,Bryan,Henderson,20,Lece Trail,Assonzo,RI,17233,$3483.88,YELLOW,06/17/2053
66,Vernon,Stanley,40,Kabivi Place,Seceofo,MI,62986,$5389.79,WHITE,10/31/1971
67,Hilda,Fox,28,Kume View,Ikosja,PA,09913,$6494.40,RED,11/09/2023
68,Jeanette,Cox,26,Deazo Square,Cuzsugi,SC,82166,$1819.50,YELLOW,01/09/2028
69,Georgia,Davis,55,Aruk Circle,Kecijef,DC,96573,$2233.13,WHITE,10/21/2010
70,Leona,Pearson,56,Ozcu Key,Antavak,NJ,93084,$5855.66,YELLOW,05/14/1969
71,Janie,Adkins,59,Iwiiv Park,Igubabu,CA,07007,$9273.91,YELLOW,02/19/1903
72,Inez,Osborne,59,Relgip Key,Jaazfoh,DE,18900,$3865.83,RED,04/25/1967
73,Hilda,Romero,52,Ocot Drive,Reukosil,WI,41775,$7569.37,WHITE,01/13/1940
74,Ryan,Bates,52,Orpaz Street,Onotojhup,NH,83363,$6079.36,GREEN,11/09/1994
75,Maud,Houston,26,Nimsu Point,Ifinofpa,RI,73371,$2097.15,BLUE,12/11/2063
76,Chad,Matthews,35,Ufeufo Drive,Gudirsoc,NH,24635,$929.62,YELLOW,08/26/1982
77,Donald,Curry,44,Gocdoc Lane,Hazefni,KY,25693,$2904.86,BLUE,12/21/2061
78,Sally,Berry,32,Ofagev Plaza,Zuwehowa,AR,51492,$932.00,YELLOW,05/16/1932
79,Cecilia,McGuire,33,Jein Point,Apatare,ND,21627,$2628.94,GREEN,09/11/2049
80,Caroline,Waters,39,Zufez Road,Sozanob,NM,67688,$4871.64,BLUE,07/04/1991
81,Ethan,Cruz,37,Gigam Turnpike,Tujoec,MI,42057,$1536.75,RED,02/17/2044
82,Carlos,Carlson,40,Vuvjo Ridge,Ginnempe,NY,52980,$7812.65,GREEN,08/06/2012
83,Francis,Henderson,45,Huzzu Key,Epigudci,IA,91528,$5439.12,GREEN,04/25/1902
84,Adele,Pena,65,Ifro Trail,Vubfisbeh,KY,29494,$4034.11,BLUE,07/11/2056
85,Juan,Ball,65,Foli Square,Deocfib,IL,04747,$6546.95,RED,06/12/1949
86,Brian,Fisher,35,Peun Road,Lustaper,OR,46635,$9712.56,YELLOW,11/01/2059
87,Elijah,Kennedy,24,Rumzo Heights,Buzaoha,NC,88989,$143.18,WHITE,05/19/2025
88,Luella,Rodgers,18,Tuuhu Park,Depagwa,AK,66389,$1249.63,RED,10/03/1904
89,Jerome,Fitzgerald,64,Hoku Pass,Kicimwep,TX,75096,$1860.00,WHITE,10/27/2028
90,Louis,Ward,60,Kodbor Highway,Bimufap,ME,93065,$6045.32,RED,02/19/1954
91,Myrtle,Potter,53,Ugeeje Terrace,Culetak,NH,19329,$3936.71,YELLOW,01/01/1935
92,Chase,Dennis,51,Wofig Street,Liogosiv,ID,64153,$8195.23,GREEN,10/09/1901
93,Lena,Nash,21,Donfiv Loop,Sugwebtid,NM,23634,$9367.41,YELLOW,09/20/2010
94,Eddie,Hanson,34,Dutil Grove,Dibepu,WA,60832,$5244.63,YELLOW,12/02/1904
95,Bill,Daniel,27,Memkos Lane,Secnokac,RI,44264,$6313.62,RED,06/19/1953
96,Louis,Norris,26,Sacbep View,Jacpejpe,OR,56109,$5377.71,BLUE,06/22/2042
97,Eugene,Byrd,30,Wober Terrace,Reavitu,VA,27629,$259.84,YELLOW,08/18/2030
98,Billy,Thompson,59,Lazzum Heights,Senbawim,OK,34448,$5173.13,WHITE,02/20/2022
99,Cody,French,18,Pamgin Boulevard,Bawolubu,VA,17240,$1473.32,WHITE,06/22/1989
100,Miguel,Allison,53,Vuldu Terrace,Hufpimag,MN,71580,$7656.03,RED,01/11/2064
